tender_id,firm_id,price,quality,experience,risk,price_score,low_risk_score,public_value,rank
1,T001_F1,882.186814566789,71.94392198760262,91.51587519468295,32.89472116237456,0.0,67.10527883762543,57.88320116247661,5
1,T001_F2,678.2532043662949,98.78111758183779,85.66838211942118,36.44257221107815,100.0,63.55742778892185,88.762916362191,1
1,T001_F3,688.4340898026637,72.51929689477835,62.247881453954875,42.07059955394407,95.00774520376525,57.92940044605593,72.65557582207472,2
1,T001_F4,843.1595360241994,91.1380806635415,66.60485192963986,14.089548871391075,19.1372469227709,85.91045112860893,65.95903913788692,3
1,T001_F5,816.3754361047504,53.190862805208766,89.65787031955493,30.266575964882595,32.27098191285743,69.73342403511741,60.3861567066892,4
2,T002_F1,877.4263220256122,67.72629840649341,98.2418814636942,40.724844852887905,3.1298298507800304,59.275155147112095,57.515848379988995,4
2,T002_F2,883.5150491221285,59.73193539259838,68.00326022362205,6.752150631489151,0.0,93.24784936851086,53.5699655473872,5
2,T002_F3,696.2868476202643,84.15244766212273,84.68572935446903,43.7003892973684,96.24218735368675,56.2996107026316,81.73763561620208,1
2,T002_F4,747.7476074414456,68.52298530174345,68.17334867654847,12.578854363371427,69.78946255931923,87.42114563662858,72.53182752681568,3
2,T002_F5,688.9764516006414,73.78524631129669,53.61456094305305,31.792559787300412,100.0,68.2074402126996,74.18070217169219,2
3,T003_F1,781.1455756616992,91.63390980289188,82.01590612013494,17.494665655281644,100.0,82.50533434471836,89.49521633984497,1
3,T003_F2,899.6779404185603,90.23821787484009,63.24870274181047,16.533124157209762,0.0,83.46687584279024,59.577016216462695,4
3,T003_F3,854.7486511924926,56.98762418046549,51.9944921485065,5.2944907900402205,37.90465947273445,94.70550920995979,58.51217700144184,5
3,T003_F4,886.0773132506415,83.2425428296016,82.30992271758011,36.22916124087872,11.474188670593898,63.77083875912128,61.17295844774824,3
3,T003_F5,787.6747326615019,78.4370597976447,48.38781988765945,9.581202941438939,94.4916673069034,90.41879705856107,77.33474914964633,2
4,T004_F1,850.5208885371414,73.55481030715663,73.91416638887134,35.59995429664102,22.490084039195125,64.40004570335898,59.047514839835394,4
4,T004_F2,840.4154960001772,77.6789700328998,73.55242964472481,17.158003922504488,26.5850568402031,82.84199607749551,64.90646184660102,3
4,T004_F3,659.2453503703819,71.83586946161812,52.875080369171755,21.341145748985447,100.0,78.65885425101456,75.5013017809813,1
4,T004_F4,906.0209219804499,61.69697429326704,43.498164501343965,16.255355680879862,0.0,83.74464431912014,46.13256227714013,5
4,T004_F5,738.078127330005,83.09582573634475,73.4219291404767,36.35592836425654,68.05487008082491,63.64407163574346,73.02676185337752,2
5,T005_F1,849.2940620982163,70.31934307200352,88.84122307996208,11.678916796308156,0.0,88.32108320369184,60.97032533232995,3
5,T005_F2,656.8136219401581,54.50239303878209,83.34156103578702,23.475089210055494,100.0,76.5249107899445,77.49109032857028,1
5,T005_F3,698.3815337100806,75.05223875516818,49.13872616279011,32.85281500310944,78.40408524846038,67.14718499689056,67.8308114787412,2
5,T005_F4,783.8468826722092,69.05106130482412,58.09072534887259,30.21130372475554,34.001989694258896,69.78869627524446,57.696236407278995,4
5,T005_F5,758.5437831660171,54.38249596580505,47.08035412723092,43.47590658198058,47.1477927095752,56.52409341801942,51.176604182546924,5
6,T006_F1,922.5742072122821,84.98535669053747,55.95219768757117,43.76705509390896,0.0,56.23294490609104,50.730245410272246,5
6,T006_F2,883.6252711897383,85.84450945794978,66.96169012862732,15.88966247380636,15.985154967785753,84.11033752619363,63.31213161672694,3
6,T006_F3,678.9172886460498,95.13011982719209,67.34657739001666,13.094534591809213,100.0,86.90546540819079,87.75677337729995,1
6,T006_F4,741.7869872451957,78.9609784470948,50.606366976353904,39.26457136369502,74.19744985322207,60.73542863630498,67.03633346878344,2
6,T006_F5,877.555858950563,85.97314779754684,65.92558238650622,30.092353628097726,18.476121477126018,69.90764637190227,60.873899579552564,4
7,T007_F1,825.2293906738207,82.492330077741,45.066659268393344,21.632296086824386,40.837915932462785,78.36770391317562,61.89738360617146,5
7,T007_F2,662.4842521585678,74.69954096222595,59.79167273996712,10.780967554641876,100.0,89.21903244535812,80.20158696273118,1
